Filename	Vowel	Begin Time (s)	End Time (s)	Duration (ms)	IntMin	IntMinTime	IntMax	IntMaxTime	IntMean	F0 25%	F0 50%	F0 75%	F1 25%	F1 50%	F1 75%	F2 25%	F2 50%	F2 75%	F3 25%	F3 50%	F3 75%	Analyst	Date	Settings	Praat Version	OS
1430_sentences	21104	26.778867889843852	26.960192713703123	181.32482385927062	82.51104026881116	26.914217687074853	84.10127385788249	26.84558221647976	83.49360007376276	170.61295083953178	169.22544760217517	169.18286047494323	480.24626355738536	492.07379229382394	478.20491314852194	2130.125772387143	2162.9812817412067	2239.7591953052347	3156.5627063230027	3251.452384635238	3174.2243239593595	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12219	29.039534712239096	29.098198623728717	58.6639114896208	77.59429587093449	29.074217687074853	78.90943029811913	29.054217687074853	77.88151733858624	169.7748847887783	168.57986018319033	166.2123918323482	505.6895899807131	490.66536850451735	608.8179747541108	952.5979310033122	965.8836842844779	1964.675672342767	3325.1200608854083	3401.4945282807134	3691.5170505710585	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12111	30.93089285481344	31.013174678035657	82.28182322221755	76.79738036783507	30.984217687074853	77.76956529081613	30.960147579511172	77.26671262231656	170.7044003394665	168.74262572536924	166.1452727510857	642.3911805226286	571.8490475093218	379.55814733651135	1070.5107284435562	1258.697099875967	1243.7017947362529	3012.996477646891	3124.2955130679375	3200.9655330310416	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	11120	33.13940626838113	33.21102187261414	71.61560423300983	79.79820678358789	33.184217687074856	80.62572218250682	33.16293307247285	80.110662911573	168.8629439673429	168.69441882729325	168.01323255045466	577.2705859165394	618.7208133464576	583.2004122059782	1161.2762955421067	1148.6618421010583	1099.8895982086394	3086.315843589457	3125.636044601925	3107.3470387379703	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	11110	35.160942231082565	35.241700229618885	80.75799853632049	78.72485438475755	35.21421768707486	79.83158465580505	35.18285310600672	79.15371555216588	163.68263270319449	160.78160604519917	160.0323717121741	469.9528650681779	450.5254749939743	434.54231163423765	1980.189322063648	1968.6177263369482	1975.091493863239	3142.7209560440338	3310.5970864953165	3180.572801047023	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	21111	37.279821522585564	37.36870608657075	88.8845639851823	78.76051747960858	37.34421768707486	80.09254519494988	37.30816956644957	79.5873781066067	184.1281965401307	180.3320942221243	175.83778904195194	423.4690109443822	430.73569088396175	339.1423670548861	764.5487027881632	865.2874239560556	587.8152481032366	3278.508976548323	3348.708721987388	3353.957102788055	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	21112	45.37978210314052	45.46333356922371	83.5514660831862	80.82190840985018	45.404217687074855	81.18121799831573	45.42251733274659	81.00673160889421	187.07698188649624	188.32007186576922	186.5949176891227	716.4490628516091	706.0228706021479	640.9513867577912	1172.773562799938	1256.99433464982	1286.3610270284505	3235.2269103501285	3083.281111995087	3122.3949131954955	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12213	47.9658813636161	48.035465259381425	69.58389576532653	79.22223504236794	47.98421768707485	81.29639083920391	48.01159513042739	80.58140481478394	176.3776267947336	178.43940510826275	176.6427188305432	449.960418453405	473.2607134898005	470.75595533879886	1235.9038223906355	1312.8762111254694	1385.4690074483715	3348.1081463670234	3235.328620023395	3400.8752420322703	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12202	50.34010543434537	50.37972250865402	39.61707430865147	72.5660375567022	50.364217687074856	73.6217323955822	50.35320529336074	72.85761710894543	180.61863402208886	177.706842157652	173.3442219368763	531.8291707127584	555.6077082138154	648.1985384193364	3338.1154472114004	3265.5285199439895	2988.587746942073	4188.175123386297	4150.153344710146	4024.6011556745116	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	12210	54.93842843129224	55.01055181778945	72.12338649721062	76.9950733436866	54.98421768707485	77.80812724754644	54.96384839623663	77.3245127045131	174.38909429155382	174.24756941512194	170.84664466679246	508.2302550555705	547.1538919833288	469.3479109072606	1139.8304449722975	1134.8789647439557	1118.3395224033359	3137.1438327774194	3148.780283485024	3244.746430631864	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
